,Kingdom,Phylum,Class,Order,Family,Genus,Species
6baf25b1def6bd72e542f0c34c086d1f,d__Bacteria,p__Kiritimatiellaeota,c__,o__,f__,g__,s__ eubacterium
3c572cca5050ea77d3ae99726ce56f6a,d__Bacteria,p__Kiritimatiellaeota,c__,o__,f__,g__,s__ eubacterium
8588f30eae8605b27e4ea287a550cf0b,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__UBA3830,f__UBA3830,g__UBA3830,s__UBA3830 sp902771535
65450d98ec4086c229040030ea3f3d12,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Unclassified,f__Unclassified,g__Unclassified,s__Unclassified
a38f5e997414a2ae4d4670a1e2d8a3d9,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Unclassified,f__Unclassified,g__Unclassified,s__Unclassified
c4001d728fb8f81bc9196c34362611ac,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__UBA3830,f__UBA3830,g__UBA3830,s__UBA3830 sp902771535
831b26cc6416656767aba5e8d8231e68,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Christensenellales,f__CAG-138,g__SFDB01,s__SFDB01 sp004558825
05ff20b0427a175285e016fc9c378fe9,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Christensenellales,f__CAG-138,g__SFDB01,s__SFDB01 sp004558825
d8bbbf74801e3bb23e06a76a9712b5f4,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Christensenellales,f__CAG-138,g__SFDB01,s__SFDB01 sp004558825
05856d70d98e40198448441a37c0e71d,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Christensenellales,f__CAG-138,g__SFDB01,s__SFDB01 sp004558825
dc25caec3595a1ae5802948505496610,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Christensenellales,f__CAG-138,g__SFDB01,s__SFDB01 sp004558825
2def57938d05fcbc41ab9a1bb7f80cbb,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Christensenellales,f__CAG-138,g__SFDB01,s__SFDB01 sp004558825
f01276eb7aac5446778050921f1d6f2a,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Christensenellales,f__CAG-138,g__SFDB01,s__SFDB01 sp004558825
9aff8476f32f183414a303e187936eb9,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Christensenellales,f__CAG-138,g__SFDB01,s__SFDB01 sp004558825
9142bcd3e815f5b0396098ef94719b08,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Christensenellales,f__CAG-138,g__SFDB01,s__SFDB01 sp004558825
fd3c54e7c47bba778ad0a4be6a7da3b1,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Christensenellales,f__CAG-138,g__SFDB01,s__SFDB01 sp004558825
14f68922aa47b616c4ecb6517102e13d,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Christensenellales,f__CAG-138,g__SFDB01,s__SFDB01 sp004558825
391cbac5b5999e31b539d8e0e2fb58ae,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Christensenellales,f__CAG-138,g__SFDB01,s__SFDB01 sp004558825
1c3bcd4e330c0d542d5095f5361bb6a0,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Christensenellales,f__CAG-138,g__SFDB01,s__SFDB01 sp004558825
d089debebbe544493afdf9853984511b,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Christensenellales,f__CAG-138,g__SFDB01,s__SFDB01 sp004558825
